id,title,description,availability,condition,price,sale_price,link,image_link,brand,item_group_id,color,size,material,product_type,additional_image_link,mpn,gender,age_group
"020f3404-9490-42b9-a26a-1b3c6c34cbf4","Grey , Black and Silver Kara Offwhite Double Mundu","Grey , Black and Silver Kara Offwhite Double Mundu","in stock","new","1485.00 INR","1337.00 INR","https://khadivasthra.com/product/grey-black-and-silver-kara-offwhite-double-mundu/","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1776683736459.jpg","Khadi Vasthra","","","","100% Cotton","Offwhite Double Mundu(4 Mtr)","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1776683739686.jpg","","unisex","adult"
"052fca15-f769-4219-aa03-0ca9eb16d183","Purple Geometric Flower White Single Mundu ","Purple Geometric Flower White Single Mundu","in stock","new","499.00 INR","449.00 INR","https://khadivasthra.com/product/purple-geometric-flower-white-single-mundu/","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1785596253079.png","Khadi Vasthra","","","","100% Cotton","Printed Mundu","","","unisex","adult"
"0625dc66-6f77-41bd-9494-a014f89ed1cd","Black Kara Offwhite Double Mundu","Black Kara Offwhite Double Mundu","in stock","new","1485.00 INR","1337.00 INR","https://khadivasthra.com/product/black-kara-offwhite-double-mundu/","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1776684097077.jpg","Khadi Vasthra","","","","100% Cotton","Offwhite Double Mundu(4 Mtr)","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1776684100909.jpg","","unisex","adult"
"07188545-e0d0-4eb0-873b-946587a3bee7","Green Khadi Full Sleeve Shirt","Green Khadi Shirt","in stock","new","1050.00 INR","945.00 INR","https://khadivasthra.com/product/green-khadi-full-sleeve-shirt/","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/green-khadi-full-sleeve-shirt/1775145911107.jpg","Khadi Vasthra","","","","100% Cotton"," Shirts","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/green-khadi-full-sleeve-shirt/1775145915638.jpg","","unisex","adult"
"0d207bd0-9a9f-4cfb-a1d7-30d4ee8974ad","Brown and Gloden Border 4.15 Mtr Offwhite Doubel Dhothi","Pure Cotton Double Dhothi in 4.15 Mtre , Perfect for Highwaist, Tall persons","out of stock","new","1485.00 INR","1040.00 INR","https://khadivasthra.com/product/brown-and-gloden-border-4-15-mtr-offwhite-doubel-dhothi/","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1784388663297.png","Khadi Vasthra","","","","100% Cotton","4.5m Double Mundu","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1784388666892.png","","unisex","adult"
"0e492fbd-6231-49d3-892d-1995131e6c2a","Poovu Set Mundu Blue (Womens Wear)","Cotton Body with Neriya kasavu lines with Blue and green flower Print","in stock","new","1090.00 INR","872.00 INR","https://khadivasthra.com/product/poovu-set-mundu-blue-womens-wear/","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1785421565372.png","Khadi Vasthra","","","","100% Cotton"," Set-Mundu","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1785421571561.png","","female","adult"
"103b021d-f698-4d96-9a82-4a501c0ba455","Grey Border Saadha Kodi Colour Single Mundu","Grey Border Saadha Kodi Colour Single Mundu","in stock","new","390.00 INR","332.00 INR","https://khadivasthra.com/product/grey-border-saadha-kodi-colour-single-mundu/","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1784216877122.png","Khadi Vasthra","","","","Cotton Mix","Single Mundu","","","unisex","adult"
"123833fa-fa14-470f-ae66-e3d30b6129ba","Kolam Print Maroon Border Kavi Single Mundu ","Kolam Print Maroon Border Kavi Single Mundu","in stock","new","380.00 INR","342.00 INR","https://khadivasthra.com/product/kolam-print-maroon-border-kavi-single-mundu/","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1785002917927.png","Khadi Vasthra","","","","100% Cotton","Printed Mundu","","","unisex","adult"
"14dc0ada-bddf-496a-a6fd-e19c79fb6781","Blue Kara Double White Mundu","Blue Kara Double White Mundu","in stock","new","1400.00 INR","1260.00 INR","https://khadivasthra.com/product/blue-kara-double-white-mundu/","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1775999394761.jpg","Khadi Vasthra","","","","100% Cotton","White Double Mundu(4Mtre)","","","unisex","adult"
"178ef384-994b-4410-a9b8-e78757e6ea48","Maroon Border Cotton Double White Mundu(4.10Mtre)","Maroon Border Cotton Double White Mundu(4.10Mtre)","in stock","new","1250.00 INR","1000.00 INR","https://khadivasthra.com/product/maroon-border-cotton-double-white-mundu-4-10mtre/","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1786814135939.png","Khadi Vasthra","","","","100% Cotton","White Double Mundu(4Mtre)","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/1786814199552.png","","unisex","adult"
"1edcba94-1161-42d2-89b6-8b535a5d5ece","Orange Colour Khadi Full Sleeve Shirt - Orange / L","Orange Colour Khadi Full Sleeve Shirt","in stock","new","1050.00 INR","945.00 INR","https://khadivasthra.com/product/orange-colour-khadi-full-sleeve-shirt/?color=Orange&size=L","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/orange-colour-khadi-full-sleeve-shirt-color/1774979181385.png","Khadi Vasthra","191bf7d7-a32c-4287-ab2c-ffda868059a2","Orange","L","100% Cotton"," Shirts","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/orange-colour-khadi-full-sleeve-shirt/1775056738564.png","KV-ORANGE-ORA-L","unisex","adult"
"28220e94-809b-43e5-a75e-719e73cb1183","Orange Colour Khadi Full Sleeve Shirt - Orange / M","Orange Colour Khadi Full Sleeve Shirt","in stock","new","1050.00 INR","945.00 INR","https://khadivasthra.com/product/orange-colour-khadi-full-sleeve-shirt/?color=Orange&size=M","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/orange-colour-khadi-full-sleeve-shirt-color/1774979181385.png","Khadi Vasthra","191bf7d7-a32c-4287-ab2c-ffda868059a2","Orange","M","100% Cotton"," Shirts","https://etjxdomvtsxrnbjmjzxz.supabase.co/storage/v1/object/public/product-images/orange-colour-khadi-full-sleeve-shirt/1775056738564.png","KV-ORANGE-ORA-M","unisex","adult"
